TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD,FRATE,AMBIANT
2.02E+13,872,6,75,43,5.39,17,22,2,28
2.02E+13,1323,6,75,43,17.92,27,22,3.4,31
2.02E+13,2260,6,75,43,30.52,27,36,2.2,30
2.02E+13,2260,14,75,43,30.52,29,29,6.9,30
2.02E+13,3122,14,75,43,32.69,27,29,6.9,30
2.02E+13,3348,16,75,42,32.69,27,18,7.7,29
2.02E+13,3348,17,75,42,18.62,23,18,6.5,29
2.02E+13,3503,17,75,42,45.01,34,18,8,31
2.02E+13,3659,20,75,43,45.01,34,34,6.2,29
2.02E+13,3659,20,75,43,10.92,20,45,7.3,28
2.02E+13,2993,22,75,43,70,44,45,7.3,30
2.02E+13,3634,28,75,40,70,44,41,7,30
2.02E+13,3634,28,75,40,33.53,29,22,7.5,31
2.02E+13,3739,32,75,40,45.29,33,22,6.8,31
2.02E+13,4042,34,75,39,45.29,33,33,6.7,29
2.02E+13,4042,34,75,39,58.45,38,45,7.8,29
2.02E+13,4606,37,75,37,111.72,49,45,6.8,29
2.02E+13,5614,40,75,34,111.72,49,59,7.1,28
2.02E+13,5614,40,76,34,182.28,76,71,6.4,29
2.02E+13,4472,53,76,31,141.4,79,71,6.7,29
2.02E+13,4472,58,76,31,141.4,79,81,6.1,28
2.02E+13,5021,58,76,31,166.67,78,79,7.7,30
2.02E+13,5635,68,76,29,181.02,63,79,6,31
2.02E+13,5635,78,76,31,181.02,63,9,7.1,30
2.02E+13,4379,78,77,31,129.64,60,72,6.3,31
2.02E+13,4589,79,77,30,16.94,17,72,6.9,31
2.02E+13,4589,82,78,31,16.94,17,8,6.9,28
2.02E+13,4432,82,78,31,14.21,18,8,6.5,31
2.02E+13,4297,80,78,34,19.53,22,8,6.8,29
2.02E+13,4297,77,78,35,19.53,22,11,7.5,28
2.02E+13,4215,77,78,35,19.32,22,11,6.6,31
2.02E+13,4136,76,78,36,19.32,22,11,7.7,28
2.02E+13,4136,74,78,34,19.32,22,12,6.7,30
2.02E+13,4084,74,78,34,34.51,29,23,6.6,30
2.02E+13,4088,73,78,34,51.45,35,23,7.2,28
2.02E+13,4221,74,79,33,51.45,35,46,6.8,31
2.02E+13,4221,75,79,33,87.99,42,9,6,28
2.02E+13,4199,75,79,31,12.6,17,9,6.8,29
2.02E+13,4030,76,79,33,12.6,17,7,7.2,30
2.02E+13,4030,76,79,33,13.23,19,10,7.2,29
2.02E+13,3887,71,79,34,21.7,29,10,7.2,29
2.02E+13,3930,70,79,34,21.7,29,38,7.8,31
2.02E+13,3930,70,79,34,84.91,43,55,6.1,31
2.02E+13,4105,71,79,32,86.59,43,55,6.2,31
2.02E+13,4105,73,79,30,86.59,38,39,7.4,31
2.02E+13,4219,73,79,30,111.44,52,55,7.8,29
2.02E+13,4363,76,79,29,17.43,52,55,6.4,30
2.02E+13,4363,78,79,31,17.43,20,9,6.7,29
2.02E+13,4304,78,79,31,20.02,23,9,7.5,29
2.02E+13,4248,78,79,32,21.7,23,13,6.4,31
2.02E+13,4248,76,79,33,21.7,24,13,7.6,29
2.02E+13,3757,76,79,33,10.99,25,21,6.7,29
2.02E+13,3417,76,79,34,29.68,28,21,8,31
2.02E+13,3417,76,80,34,29.68,28,21,7,29
2.02E+13,3443,76,80,34,27.58,27,20,6.9,28
2.02E+13,3456,76,80,33,32.06,29,20,7.9,30
2.02E+13,3456,77,80,33,32.06,29,23,6.8,31
2.02E+13,3465,77,80,33,32.13,29,22,7.4,30
2.02E+13,3473,78,80,33,33.74,29,22,6.2,28
2.02E+13,3473,78,80,33,33.74,29,23,7.9,28
2.02E+13,3480,78,80,33,33.81,29,24,7.4,31
2.02E+13,3476,78,80,33,33.53,29,24,7.4,30
2.02E+13,3476,78,81,32,33.53,29,24,8,30
2.02E+13,3474,78,80,32,33.32,29,24,6.8,31
2.02E+13,3459,77,80,32,26.95,29,24,7.5,30
2.02E+13,3459,78,80,32,26.95,27,18,7.6,30
2.02E+13,3439,78,80,32,22.75,25,18,6.8,29
2.02E+13,3399,76,80,32,19.88,25,15,6,31
2.02E+13,3399,76,81,32,19.88,24,15,7.3,29
2.02E+13,3360,76,80,32,19.11,23,15,8,28
2.02E+13,3294,75,80,32,10.01,23,8,6.9,31
2.02E+13,3294,72,80,33,10.01,17,7,6.4,31
2.02E+13,3201,72,80,33,9.66,17,7,6.6,28
